Replicate,Hours,RLuc_bkgr,FLuc_bkgr,RLuc_0aTc,FLuc_0aTc,Signal_0aTc,RLuc_1aTc,FLuc_1aTc,Signal_1aTc,Fold_change,Diff_RLuc,Diff_FLuc,Mean_RLuc0,Mean_RLuc1,Mean_Fold,Mean_growth,,,,
1,0,281,72,35557,450,0.01071550062,35557,450,0.01071550062,1,1,1,36554,36554,1,NA,329.6666667,329.6666667,422.6666667,422.6666667
1,24,241,109,50064,348,0.004796981314,38202,507,0.01048444456,2.185633813,0.7619171868,1.665271967,50448.33333,37172,1.81881098,1.380104321,289.3333333,378.3333333,382.3333333,471.3333333
1,48,289,83,63265,1134,0.01668889736,45981,816,0.01604219557,0.9612495797,0.7255462398,0.6974310181,62230.33333,43092,1.110160655,1.233545872,1071.333333,820.3333333,1164.333333,913.3333333
1,72,289,83,256660,1629,0.006030323242,248850,2147,0.008303796654,1.37700689,0.969536336,1.335058215,224810.6667,248359.6667,1.373638323,3.612557649,1459.333333,2234.333333,1552.333333,2327.333333
1,96,289,83,280503,3274,0.0113877251,218016,3190,0.01427016401,1.253118063,0.7770025766,0.9736759636,261953.3333,215653.6667,1.27579873,1.165217546,,,,
1,120,289,83,557439,3484,0.006104280714,762402,5795,0.007494951536,1.22781895,1.367877591,1.679506028,577444,740097.3333,1.348961407,2.20437737,,,,
1,144,289,83,375704,5300,0.01389662107,449789,10312,0.022756396,1.63754886,1.197341609,1.960705386,345028.6667,447447,1.310176612,0.597510177,,,,
1,168,289,83,981450,9240,0.009332821015,2646605,31399,0.01183380972,1.267977785,2.697127179,3.419897346,1003277.333,2689441,1.219964469,2.907808627,,,,
2,0,281,72,40082,351,0.007009874124,40082,351,0.007009874124,1,1,1,,,,,,,,
2,24,241,109,56728,399,0.00513392462,37876,478,0.009804703069,1.909787111,0.6662594933,1.272413793,,,,,,,,
2,48,289,83,60428,1083,0.0166281448,43447,873,0.0183048334,1.100834376,0.7176374732,0.79,,,,,,,,
2,72,289,83,249122,1621,0.006180852218,249819,2502,0.009694225143,1.56842856,1.002801075,1.572821847,,,,,,,,
2,96,289,83,252348,2972,0.01146160224,224902,3694,0.01607654054,1.402643382,0.891112795,1.249913465,,,,,,,,
2,120,289,83,524878,3034,0.005625356231,761006,6011,0.007792648252,1.38527196,1.450119999,2.008810573,,,,,,,,
2,144,289,83,305685,5347,0.01723663702,456270,9876,0.02147677206,1.245995494,1.493081114,1.86037234,,,,,,,,
2,168,289,83,894198,8904,0.00986789483,2915383,32230,0.01102777475,1.117540766,3.261063486,3.644371386,,,,,,,,
3,0,281,72,34866,404,0.009599537372,34866,404,0.009599537372,1,1,1,,,,,,,,
3,24,241,109,45276,448,0.007527478628,36161,477,0.01024498886,1.361012016,0.7976018652,1.085545723,,,,,,,,
3,48,289,83,63865,1246,0.01829306657,40715,1021,0.02320288923,1.26839801,0.6358688813,0.8065348237,,,,,,,,
3,72,289,83,169517,1377,0.007646488761,247277,2303,0.008988290929,1.175479519,1.459498428,1.71561051,,,,,,,,
3,96,289,83,253876,3398,0.01307243668,204910,3217,0.01531612102,1.171634746,0.8069065055,0.9453996983,,,,,,,,
3,120,289,83,650882,3211,0.004807921389,697751,4891,0.006893565528,1.433793311,1.072040431,1.537084399,,,,,,,,
3,144,289,83,354564,6752,0.01882435961,437149,8693,0.0197088312,1.046985481,1.233109872,1.291048133,,,,,,,,
3,168,289,83,1135051,9089,0.007936465973,2507202,25438,0.01011403268,1.274374855,2.209197171,2.815345325,,,,,,,,
