Replicate,Hours,RLuc_bkgr,FLuc_bkgr,RLuc_0aTc,FLuc_0aTc,Signal_0aTc,RLuc_1aTc,FLuc_1aTc,Signal_1aTc,Fold_change,Diff_RLuc,Diff_FLuc,Mean_RLuc0,Mean_RLuc1,Mean_Fold,Mean_growth,,,,
1,0,625,,20385,,0,19385,,0,#DIV/0!,0.9493927126,#DIV/0!,19948,18948,#DIV/0!,NA,NA,#VALUE!,#VALUE!,#VALUE!
1,24,625,,89009,,0,71412,,0,#DIV/0!,0.8009028783,#DIV/0!,72033,55925.66667,#DIV/0!,3.611038701,2.951534023,0.8173642732,95.95153402,93.81736427
1,48,625,,131504,,0,100273,,0,#DIV/0!,0.7613750105,#DIV/0!,110775,88056,#DIV/0!,1.537836825,1.574518557,1.023852812,94.57451856,94.02385281
1,72,625,,897696,,0,715786,,0,#DIV/0!,0.7972178345,#DIV/0!,765267,627951.3333,#DIV/0!,6.908300609,7.131272524,1.032275943,100.1312725,94.03227594
1,96,625,,1103043,,0,1072090,,0,#DIV/0!,0.9719226283,#DIV/0!,1007602.333,968917.6667,#DIV/0!,1.31666769,1.542982099,1.171884228,,
1,120,625,,5662434,,0,5803835,,0,#DIV/0!,1.024974527,#DIV/0!,5803496.333,5415425,#DIV/0!,5.759709105,5.589148786,0.970387338,,
1,144,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
1,168,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
2,0,625,,20452,,0,19452,,0,#DIV/0!,0.9495637262,#DIV/0!,,,,,,,,
2,24,625,,57727,,0,44231,,0,#DIV/0!,0.7636510105,#DIV/0!,,,,,,,,
2,48,625,,88083,,0,77479,,0,#DIV/0!,0.8787532301,#DIV/0!,,,,,,,,
2,72,625,,606673,,0,590422,,0,#DIV/0!,0.9731852923,#DIV/0!,,,,,,,,
2,96,625,,999238,,0,799203,,0,#DIV/0!,0.7996871661,#DIV/0!,,,,,,,,
2,120,625,,5769901,,0,5003743,,0,#DIV/0!,0.8672003211,#DIV/0!,,,,,,,,
2,144,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
2,168,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
3,0,625,,20882,,0,19882,,0,#DIV/0!,0.9506343486,#DIV/0!,,,,,,,,
3,24,625,,71238,,0,54009,,0,#DIV/0!,0.7560081005,#DIV/0!,,,,,,,,
3,48,625,,114613,,0,88291,,0,#DIV/0!,0.7690809559,#DIV/0!,,,,,,,,
3,72,625,,793307,,0,579521,,0,#DIV/0!,0.7303004231,#DIV/0!,,,,,,,,
3,96,625,,922401,,0,1037335,,0,#DIV/0!,1.12468756,#DIV/0!,,,,,,,,
3,120,625,,5980029,,0,5440572,,0,#DIV/0!,0.9097808076,#DIV/0!,,,,,,,,
3,144,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
3,168,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
